CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
4036;LE BRUSQUET;M;;
4037;LE CAIRE;M;;
4039;CASTELLANE;M;;
4040;LE CASTELLARD-MELAN;M;;
4041;LE CASTELLET;M;;
4042;CASTELLET-LES-SAUSSES;M;;
4043;VAL-DE-CHALVAGNE;M;;
4045;CERESTE;M;;
4046;LE CHAFFAUT-SAINT-JURSON;M;;
4047;CHAMPTERCIER;M;;
4049;CHATEAU-ARNOUX-(SAINT-AUBAN);M;;
4050;CHATEAUFORT;M;;
4051;CHATEAUNEUF-MIRAVAIL;M;;
4053;CHATEAUNEUF-VAL-SAINT-DONAT;M;;
4054;CHATEAUREDON;M;;
4055;CHAUDON-NORANTE;M;;
4057;CLAMENSANE;M;;
4058;CLARET;M;;
4059;CLUMANC;M;;
4061;COLMARS-LES-ALPES;M;;
4062;LA CONDAMINE-CHATELARD;M;;
4065;CRUIS;M;;
4066;CURBANS;M;;
4067;CUREL;M;;
4068;DAUPHIN;;;ZHS
4069;DEMANDOLX;M;;
4070;DIGNE-LES-BAINS;M;;
4072;DRAIX;M;;
4073;ENCHASTRAYES;M;;
4074;ENTRAGES;M;;
4075;ENTREPIERRES;M;;
4076;ENTREVAUX;M;;
4077;ENTREVENNES;M;;
4079;L'ESCALE;M;;
4081;ESPARRON-DE-VERDON;M;;
4084;ESTOUBLON;M;;
4085;FAUCON-DU-CAIRE;M;;
4086;FAUCON-DE-BARCELONNETTE;M;;
4087;FONTIENNE;M;;
4088;FORCALQUIER;M;;
4090;LE FUGERET;M;;
4091;GANAGOBIE;M;;
4092;LA GARDE;M;;
4093;GIGORS;M;;
4094;GREOUX-LES-BAINS;;;ZHS
4095;L'HOSPITALET;M;;
4096;JAUSIERS;M;;
4097;LA JAVIE;M;;
4099;LAMBRUISSE;M;;
4101;LARDIERS;M;;
4102;LE LAUZET-UBAYE;M;;
4104;LIMANS;M;;
4106;LURS;M;;
4107;MAJASTRES;M;;
4108;MALIJAI;M;;
4109;MALLEFOUGASSE-AUGES;M;;
4110;MALLEMOISSON;M;;
4111;MANE;M;;
4112;MANOSQUE;;;ZHS
4113;MARCOUX;M;;
4115;MEAILLES;M;;
4116;LES MEES;;;ZHS
4118;MELVE;M;;
4120;VAL-D’ORONAYE;M;;
4121;MEZEL;M;;
4122;MIRABEAU;M;;
4123;MISON;M;;
4124;MONTAGNAC-MONTPEZAT;M;;
4126;MONTCLAR;M;;
4127;MONTFORT;M;;
4128;MONTFURON;M;;
4129;MONTJUSTIN;M;;
4130;MONTLAUX;M;;
4132;MONTSALIER;M;;
4133;MORIEZ;M;;
4134;LA MOTTE-DU-CAIRE;M;;
4135;MOUSTIERS-SAINTE-MARIE;M;;
4136;LA MURE-ARGENS;M;;
4137;NIBLES;M;;
4138;NIOZELLES;;;ZHS
4139;NOYERS-SUR-JABRON;M;;
4140;LES OMERGUES;M;;
4141;ONGLES;M;;
4142;OPPEDETTE;M;;
4143;ORAISON;;;ZHS
4144;LA PALUD-SUR-VERDON;M;;
4145;PEIPIN;M;;
4148;PEYROULES;M;;
4149;PEYRUIS;M;;
4150;PIEGUT;M;;
4151;PIERRERUE;M;;
4152;PIERREVERT;;;ZHS
4154;PONTIS;M;;
4155;PRADS-HAUTE-BLEONE;M;;
4156;PUIMICHEL;M;;
4157;PUIMOISSON;M;;
4158;QUINSON;M;;
4159;REDORTIERS;M;;
4160;REILLANNE;M;;
4161;MEOLANS-REVEL;M;;
4162;REVEST-DES-BROUSSES;M;;
4163;REVEST-DU-BION;M;;
4164;REVEST-SAINT-MARTIN;M;;
4166;RIEZ;M;;
4167;LA ROBINE-SUR-GALABRE;M;;
4169;LA ROCHEGIRON;M;;
4170;LA ROCHETTE;M;;
4171;ROUGON;M;;
4172;ROUMOULES;M;;
4173;SAINT-ANDRE-LES-ALPES;M;;
4174;SAINT-BENOIT;M;;
4175;SAINTE-CROIX-A-LAUZE;M;;
4176;SAINTE-CROIX-DE-VERDON;M;;
4177;HAUTES-DUYES;M;;
4178;SAINT-ETIENNE-LES-ORGUES;M;;
4179;SAINT-GENIEZ;M;;
4180;SAINT-JACQUES;M;;
4181;SAINT-JEANNET;M;;
4182;SAINT-JULIEN-D'ASSE;M;;
4183;SAINT-JULIEN-DU-VERDON;M;;
4184;SAINT-JURS;M;;
4186;SAINT-LAURENT-DU-VERDON;M;;
4187;SAINT-LIONS;M;;
4188;SAINT-MAIME;;;ZHS
4189;SAINT-MARTIN-DE-BROMES;M;;
4190;SAINT-MARTIN-LES-EAUX;M;;
4191;SAINT-MARTIN-LES-SEYNE;M;;
4192;SAINT-MICHEL-L'OBSERVATOIRE;M;;
4193;SAINT-PAUL-SUR-UBAYE;M;;
4194;SAINT-PIERRE;M;;
4195;SAINT-PONS;M;;
4199;SAINT-VINCENT-SUR-JABRON;M;;
4200;SALIGNAC;M;;
4201;SAUMANE;M;;
4202;SAUSSES;M;;
4203;SELONNET;M;;
4204;SENEZ;M;;
4205;SEYNE;M;;
4206;SIGONCE;M;;
4207;SIGOYER;M;;
4208;SIMIANE-LA-ROTONDE;M;;
4209;SISTERON;M;;
4210;SOLEILHAS;M;;
4211;SOURRIBES;M;;
4214;TARTONNE;M;;
4216;THEZE;M;;
4217;THOARD;M;;
4218;THORAME-BASSE;M;;
4219;THORAME-HAUTE;M;;
4220;LES THUILES;M;;
4222;TURRIERS;M;;
4224;UBRAYE;M;;
4226;UVERNET-FOURS;M;;
4227;VACHERES;M;;
